Vuosi	Paaluokka/Osasto	Luku	Momentti	Alkup.talousarvio	Lisätalousarvio	Voimassaoleva talousarvio	Käytettävissä	Nettokertymä ko.vuodelta	Nettokertymä	Jäljellä	
2014	24. Ulkoministeriön hallinnonala	24.30. Kansainvälinen kehitysyhteistyö	24.30.66. Varsinainen kehitysyhteistyö	891844000	69401000	961245000	961245000	961245000	961245000	0	
2014	24. Ulkoministeriön hallinnonala	24.30. Kansainvälinen kehitysyhteistyö	24.30.88. Finnfundin (Teollisen yhteistyön rahasto Oy) pääoman korottaminen	10000000	0	10000000	10000000	10000000	10000000	0	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.50. Eräät valtionavut	1756000	0	1756000	1756000	1752400	1752400	3600	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.51. Hädänalaisten avustaminen	45000	0	45000	45000	37197	96	37197	96	7802	4	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.66. Eräät jäsenmaksut ja rahoitusosuudet	86507000	0	86507000	86507000	86507000	86507000	0	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.67. Kansainvälisen ilmastosopimuksen alaisen yhteistyön menot	500000	0	500000	500000	500000	500000	0	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.68. Itämeren Barentsin ja arktisen alueen yhteistyö	3200000	0	3200000	3200000	3200000	3200000	0	
2014	24. Ulkoministeriön hallinnonala	24.90. Ulkoasiainministeriön hallinnonalan muut menot	24.90.95. Kurssivaihtelut	1000000	0	1000000	1000000	-94204	88	-94204	88	1094204	88	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.01. Oikeusministeriön toimintamenot	27592000	69000	27661000	27661000	27661000	27661000	0	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.02. Oikeushallinnon tietotekniikkakeskuksen toimintamenot	1000	0	1000	1000	1000	1000	0	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.03. Eräiden virastojen toimintamenot	6809000	252000	7061000	7061000	7061000	7061000	0	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.04. Tutkimus ja kehittäminen	2071000	0	2071000	2071000	2071000	2071000	0	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.20. Erityismenot	10865000	1000000	11865000	11865000	11337393	83	11337393	83	527606	17	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.21. Oikeusministeriön hallinnonalan tuottavuusmääräraha	251000	0	251000	251000	251000	251000	0	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.29. Oikeusministeriön hallinnonalan arvonlisäveromenot	60000000	0	60000000	60000000	58150214	12	58150214	12	1849785	88	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.50. Avustukset	4218000	24000	4242000	4242000	4237607	4237607	4393	
2014	25. Oikeusministeriön hallinnonala	25.01. Ministeriö ja hallinto	25.01.51. Eräät valtion maksamat korvaukset	18000000	100000	18100000	18100000	17566829	03	17566829	03	533170	97	
2014	25. Oikeusministeriön hallinnonala	25.10. Tuomioistuimet ja oikeusapu	25.10.01. Korkeimman oikeuden toimintamenot	8999000	0	8999000	8999000	8999000	8999000	0	
